Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
931,13,1888.46,123.95,553.17,6.56,29.29,321.92,nan,nan,nan,20.04,34.17
803,6,546.02,137.08,532.00,25.11,97.43,355.97,nan,nan,nan,20.56,nan
770,6,619.81,141.60,517.67,22.85,83.52,367.69,nan,nan,nan,14.69,nan
877,24,1065.13,80.03,511.45,7.51,48.02,208.07,nan,nan,nan,32.10,1.66
292,14,1077.36,72.61,455.80,6.74,42.31,188.85,nan,nan,nan,29.70,nan
446,21,1252.37,60.50,451.46,4.83,36.05,157.47,nan,nan,nan,25.07,0.30
873,14,793.41,72.09,430.18,9.09,54.22,187.51,nan,nan,nan,36.22,3.93
763,11,1453.63,61.54,414.71,4.23,28.53,160.16,nan,nan,nan,27.04,1.93
593,1,1036.50,66.38,403.02,6.40,38.88,172.71,nan,nan,nan,0.49,nan
752,11,616.30,70.95,391.21,11.51,63.48,184.54,nan,nan,nan,13.48,nan
433,21,642.44,70.20,386.04,10.93,60.09,182.61,nan,nan,nan,22.87,nan
362,8,2140.14,57.58,373.71,2.69,17.46,149.89,nan,nan,nan,5.27,nan
149,1,1062.30,77.10,351.14,7.26,33.05,200.49,nan,nan,nan,1.55,nan
175,17,1598.18,85.60,346.05,5.36,21.65,222.52,nan,nan,nan,1.72,nan
811,5,309.53,130.81,295.51,42.26,95.47,339.70,nan,nan,nan,20.54,nan
338,2,321.60,58.40,289.90,18.16,90.15,152.02,nan,nan,nan,3.19,nan
607,6,498.84,62.95,285.91,12.62,57.32,163.82,nan,nan,nan,5.78,nan
725,6,282.49,62.81,276.32,22.23,97.81,163.46,nan,nan,nan,29.59,nan
716,12,847.30,37.13,273.43,4.38,32.27,96.89,nan,nan,nan,20.52,nan
538,3,584.32,100.04,264.93,17.12,45.34,259.97,nan,nan,nan,0.73,nan
391,14,617.80,34.07,248.78,5.51,40.27,88.96,nan,nan,nan,25.10,nan
1020,12,1214.10,41.78,230.59,3.44,18.99,108.94,nan,nan,nan,11.81,31.65
1061,2,312.28,41.48,230.22,13.28,73.72,108.17,nan,nan,nan,4.84,16.76
434,10,365.14,43.14,226.64,11.81,62.07,112.45,nan,nan,nan,22.58,nan
545,3,356.58,35.01,221.35,9.82,62.07,91.40,nan,nan,nan,1.24,nan
288,8,406.83,33.73,219.76,8.29,54.02,88.08,nan,nan,nan,28.04,nan
380,8,603.72,41.47,215.93,6.87,35.77,108.13,nan,nan,nan,17.24,nan
710,4,242.11,52.17,212.98,21.55,87.97,135.86,nan,nan,nan,3.84,nan
465,14,586.80,32.11,209.56,5.47,35.71,83.87,nan,nan,nan,18.31,2.68
733,11,642.12,30.28,208.62,4.72,32.49,79.13,nan,nan,nan,19.27,nan
437,11,692.33,27.25,201.57,3.94,29.11,71.26,nan,nan,nan,38.69,nan
373,7,298.90,28.91,200.05,9.67,66.93,75.57,nan,nan,nan,13.06,nan
402,9,761.71,28.25,199.38,3.71,26.17,73.88,nan,nan,nan,40.82,nan
866,4,331.38,30.67,198.83,9.26,60.00,80.14,nan,nan,nan,21.35,0.30
785,6,460.39,65.97,196.61,14.33,42.71,171.65,nan,nan,nan,5.04,nan
884,11,676.12,28.43,194.73,4.20,28.80,74.34,nan,nan,nan,29.80,3.69
251,8,883.02,29.29,191.85,3.32,21.73,76.56,nan,nan,nan,7.07,nan
392,11,405.55,34.14,189.29,8.42,46.68,89.13,nan,nan,nan,34.78,nan
765,6,211.76,42.31,184.45,19.98,87.10,110.30,nan,nan,nan,21.21,nan
306,5,481.03,34.23,184.05,7.12,38.26,89.38,nan,nan,nan,29.50,nan
539,3,211.20,35.01,184.05,16.58,87.14,91.40,nan,nan,nan,1.03,nan
480,4,199.78,80.36,183.76,40.22,91.98,208.94,nan,nan,nan,5.66,7.03
973,10,396.16,43.66,177.98,11.02,44.93,113.80,nan,nan,nan,19.74,12.68
438,10,391.03,24.97,177.18,6.38,45.31,65.36,nan,nan,nan,28.53,nan
382,7,358.99,25.77,175.94,7.18,49.01,67.44,nan,nan,nan,26.01,nan
194,4,261.29,42.53,175.47,16.28,67.15,110.88,nan,nan,nan,1.73,nan
895,12,258.55,28.82,175.15,11.15,67.75,75.34,nan,nan,nan,33.94,nan
378,6,271.35,29.26,167.84,10.78,61.85,76.48,nan,nan,nan,23.94,nan
273,9,404.47,23.51,167.29,5.81,41.36,61.59,nan,nan,nan,16.39,nan
875,7,314.24,29.03,166.92,9.24,53.12,75.89,nan,nan,nan,25.25,0.61
728,11,358.18,23.33,164.51,6.51,45.93,61.11,nan,nan,nan,24.80,nan
814,1,185.88,120.41,162.93,64.78,87.65,312.75,nan,nan,nan,23.98,nan
738,4,161.00,59.84,160.82,37.17,99.88,155.75,nan,nan,nan,9.76,nan
976,10,1685.41,20.20,156.46,1.20,9.28,53.02,nan,nan,nan,24.60,66.77
507,6,189.79,50.34,154.30,26.52,81.30,131.12,nan,nan,nan,35.21,nan
919,9,604.93,21.45,153.24,3.55,25.33,56.25,nan,nan,nan,26.01,0.87
358,4,248.91,28.88,152.68,11.60,61.34,75.50,nan,nan,nan,17.81,nan
653,1,290.64,66.38,150.93,22.84,51.93,172.71,nan,nan,nan,0.22,nan
335,5,496.69,21.69,150.63,4.37,30.33,56.88,nan,nan,nan,25.66,nan
869,3,328.97,23.27,149.41,7.07,45.42,60.95,nan,nan,nan,34.67,5.00
933,4,225.76,85.01,147.35,37.66,65.27,221.00,nan,nan,nan,3.45,11.38
815,1,434.42,37.30,147.15,8.59,33.87,97.33,nan,nan,nan,18.39,nan
766,3,201.88,24.79,140.75,12.28,69.72,64.89,nan,nan,nan,6.69,nan
336,2,165.92,58.40,139.78,35.20,84.24,152.02,nan,nan,nan,3.90,nan
955,8,488.71,22.87,138.29,4.68,28.30,59.93,nan,nan,nan,23.47,nan
1065,4,420.71,21.99,135.32,5.23,32.16,57.64,nan,nan,nan,2.15,6.57
859,6,373.18,26.04,134.85,6.98,36.14,68.14,nan,nan,nan,24.54,nan
361,1,206.35,27.98,134.58,13.56,65.22,73.17,nan,nan,nan,30.73,nan
721,7,302.05,19.26,134.41,6.38,44.50,50.57,nan,nan,nan,43.45,nan
756,5,432.28,19.59,134.22,4.53,31.05,51.41,nan,nan,nan,12.45,nan
162,3,1269.31,18.81,132.17,1.48,10.41,49.40,nan,nan,nan,3.06,nan
481,5,2684.71,30.52,131.48,1.14,4.90,79.74,nan,nan,nan,3.45,0.35
515,5,207.91,30.52,131.43,14.68,63.22,79.74,nan,nan,nan,21.46,nan
750,5,349.58,18.99,131.06,5.43,37.49,49.86,nan,nan,nan,24.45,nan
781,3,751.55,18.87,129.08,2.51,17.18,49.57,nan,nan,nan,25.46,2.42
422,6,201.36,27.42,125.74,13.62,62.45,71.71,nan,nan,nan,24.66,nan
262,4,384.58,26.65,125.48,6.93,32.63,69.71,nan,nan,nan,3.10,nan
245,7,823.62,26.02,122.40,3.16,14.86,68.09,nan,nan,nan,0.51,nan
440,7,226.05,18.09,121.68,8.00,53.83,47.53,nan,nan,nan,26.27,nan
151,1,121.48,77.10,121.48,63.47,100.00,200.49,nan,nan,nan,0.56,nan
192,6,121.62,46.86,121.27,38.53,99.71,122.10,nan,nan,nan,6.08,nan
323,7,691.46,15.55,119.97,2.25,17.35,40.96,nan,nan,nan,42.63,nan
609,6,1019.75,17.49,119.39,1.72,11.71,45.99,nan,nan,nan,7.38,nan
604,2,178.78,33.95,119.00,18.99,66.56,88.65,nan,nan,nan,3.38,nan
471,5,298.41,19.16,117.88,6.42,39.50,50.32,nan,nan,nan,20.63,1.27
798,5,123.73,138.31,117.35,111.79,94.85,359.15,nan,nan,nan,10.57,nan
459,5,507.45,16.33,114.30,3.22,22.53,42.98,nan,nan,nan,32.84,2.20
920,7,237.74,16.79,113.35,7.06,47.68,44.15,nan,nan,nan,30.71,2.20
497,4,320.52,20.38,111.99,6.36,34.94,53.47,nan,nan,nan,28.54,nan
722,4,111.58,55.83,111.58,50.03,100.00,145.35,nan,nan,nan,20.05,nan
333,3,146.15,18.93,110.96,12.95,75.92,49.72,nan,nan,nan,35.07,nan
606,2,149.78,26.80,109.54,17.89,73.13,70.12,nan,nan,nan,8.09,nan
379,4,246.37,25.42,107.73,10.32,43.73,66.54,nan,nan,nan,19.25,nan
337,1,107.34,40.75,107.34,37.96,100.00,106.27,nan,nan,nan,3.52,nan
544,1,106.22,93.02,106.22,87.57,100.00,241.75,nan,nan,nan,0.00,nan
953,7,293.06,18.77,105.33,6.41,35.94,49.31,nan,nan,nan,29.35,nan
485,5,253.82,18.85,105.10,7.43,41.41,49.51,nan,nan,nan,21.70,0.43
974,3,124.93,41.04,104.51,32.85,83.65,107.02,nan,nan,nan,8.41,6.43
801,2,103.92,125.61,103.92,120.87,100.00,326.23,nan,nan,nan,16.55,nan
872,5,170.19,37.18,102.36,21.85,60.14,97.02,nan,nan,nan,41.28,1.28
1029,1,106.94,23.76,97.93,22.22,91.58,62.24,nan,nan,nan,23.27,57.78
301,4,104.98,19.91,96.73,18.97,92.14,52.25,nan,nan,nan,23.74,nan
707,5,278.50,15.09,95.73,5.42,34.37,39.77,nan,nan,nan,14.84,nan
864,3,269.83,15.77,95.27,5.85,35.31,41.53,nan,nan,nan,17.66,nan
1048,3,914.63,20.27,95.07,2.22,10.39,53.18,nan,nan,nan,23.33,64.28
271,4,152.38,26.65,94.93,17.49,62.30,69.71,nan,nan,nan,7.67,nan
751,6,423.52,17.06,94.69,4.03,22.36,44.86,nan,nan,nan,6.96,nan
302,2,209.55,17.50,93.82,8.35,44.77,46.00,nan,nan,nan,29.51,nan
1018,5,211.57,17.94,91.00,8.48,43.01,47.14,nan,nan,nan,20.39,83.83
148,1,156.74,21.92,89.74,13.99,57.25,57.47,nan,nan,nan,14.27,nan
123,1,195.92,24.59,89.37,12.55,45.62,64.38,nan,nan,nan,11.75,nan
874,3,94.49,32.41,88.40,34.30,93.56,84.65,nan,nan,nan,24.27,nan
966,3,173.80,15.77,86.93,9.08,50.02,41.53,nan,nan,nan,16.54,nan
372,2,104.81,18.17,86.24,17.34,82.28,47.75,nan,nan,nan,5.66,nan
918,2,562.85,21.65,85.03,3.85,15.11,56.76,nan,nan,nan,6.82,nan
430,2,257.64,17.15,83.12,6.66,32.26,45.11,nan,nan,nan,14.51,nan
903,5,119.01,17.64,82.01,14.82,68.91,46.37,nan,nan,nan,39.59,nan
376,2,145.70,15.42,81.76,10.59,56.11,40.62,nan,nan,nan,23.88,nan
4,2,270.15,16.01,80.79,5.93,29.91,42.15,nan,nan,nan,0.86,nan
432,6,100.02,16.31,80.01,16.31,80.00,42.93,nan,nan,nan,28.37,nan
769,5,204.60,22.74,79.81,11.11,39.01,59.58,nan,nan,nan,4.03,nan
812,1,78.28,120.41,78.28,153.82,100.00,312.75,nan,nan,nan,0.00,nan
420,6,90.89,17.55,77.28,19.31,85.03,46.14,nan,nan,nan,16.73,nan
932,2,76.18,63.92,76.18,83.91,100.00,166.32,nan,nan,nan,5.07,14.97
348,2,194.36,15.80,72.81,8.13,37.46,41.60,nan,nan,nan,6.35,nan
349,2,114.32,15.80,72.33,13.82,63.27,41.60,nan,nan,nan,10.43,nan
747,4,195.33,15.29,71.51,7.83,36.61,40.27,nan,nan,nan,26.27,nan
654,1,139.68,66.38,70.96,47.52,50.80,172.71,nan,nan,nan,0.26,nan
1064,3,106.98,20.93,68.28,19.56,63.82,54.88,nan,nan,nan,2.58,16.06
813,2,144.15,123.70,66.69,85.82,46.27,321.29,nan,nan,nan,21.34,nan
125,1,100.74,24.59,60.15,24.41,59.71,64.38,nan,nan,nan,9.75,nan
671,1,359.33,15.69,57.47,4.37,15.99,41.31,nan,nan,nan,1.62,nan
723,3,79.82,26.96,51.23,33.77,64.18,70.52,nan,nan,nan,44.28,nan
364,1,93.16,15.75,47.05,16.90,50.51,41.46,nan,nan,nan,23.38,nan
305,3,73.54,29.66,31.46,40.34,42.78,77.53,nan,nan,nan,32.52,nan
907,2,318.47,21.65,29.50,6.80,9.26,56.76,nan,nan,nan,2.87,nan
909,1,213.34,17.56,24.50,8.23,11.48,46.16,nan,nan,nan,12.93,nan
520,1,99.59,59.82,17.64,60.07,17.71,155.71,nan,nan,nan,3.99,43.36
293,1,98.77,16.32,15.59,16.52,15.78,42.94,nan,nan,nan,33.19,nan
316,1,112.83,16.32,10.50,14.46,9.30,42.94,nan,nan,nan,38.21,nan
